ISO,Migrant remittance inflows (US$ million),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020e,Remittances as a share of GDP in 2020e (%)
AZE,Azerbaijan,,,,,,,,,,,0,0,0,0,0,3,0,0,6,54,57,104,163,156,204,623,790,"1,268","1,518","1,255","1,410","1,893","1,990","1,733","1,846","1,270",643,"1,133","1,226","1,275","1,403",3.3%
BGD,Bangladesh, 339 , 381 , 527 , 642 , 501 , 503 , 576 , 748 , 764 , 758 ,779,769,912,"1,007","1,151","1,202","1,345","1,526","1,606","1,807","1,968","2,105","2,858","3,192","3,584","4,315","5,428","6,562","8,941","10,521","10,850","12,071","14,120","13,867","14,988","15,296","13,574","13,502","15,566","18,364","21,750",6.6%
BRB,Barbados, 9 , 11 , 9 , 8 , 10 , 8 , 11 , 28 , 32 , 32 ,52,54,55,55,57,61,68,77,87,99,113,130,125,131,129,94,87,139,101,114,82,147,152,191,189,198,156,108,108,108,108,2.5%
BLR,Belarus,,,,,,,,,,,0,0,0,0,0,29,93,47,54,62,114,67,81,164,239,199,268,288,583,504,575,891,"1,053","1,214","1,231",932,977,"1,254","1,446","1,419","1,002",1.7%
BEL,Belgium,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"4,535","5,778","6,563","6,884","7,269","8,992","10,479","11,091","10,994","11,729","11,171","11,695","12,161","10,465","10,786","11,435","12,444","12,157","13,121",2.6%
BLZ,Belize,,,,, 18 , 21 , 24 , 19 , 17 , 22 ,18,16,20,17,13,14,17,23,23,24,25,28,27,32,34,45,64,73,76,79,78,75,76,74,80,85,97,90,93,97,93,5.6%
BEN,Benin, 77 , 62 , 37 , 44 , 42 , 40 , 51 , 60 , 71 , 91 ,94,116,135,108,88,99,85,70,89,75,86,83,76,55,63,147,196,241,208,126,140,172,208,249,305,214,222,196,199,217,206,1.4%
BTN,Bhutan,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,8,10,18,12,14,20,34,43,58,57,83,3.3%
BOL,Bolivia, 1 , 5 , 3 , 5 , 6 , 6 , 8 , 9 , 5 , 9 ,4,3,3,3,3,5,11,85,88,96,127,135,113,158,211,337,603,"1,055","1,135","1,058",960,"1,043","1,111","1,201","1,177","1,191","1,247","1,408","1,388","1,332","1,122",2.8%
BIH,Bosnia and Herzegovina,,,,,,,,,,,0,0,0,0,0,0,0,0,"1,984","1,873","1,581","1,500","1,496","1,738","2,053","2,038","2,149","2,687","2,718","2,127","1,822","1,958","1,846","1,958","2,107","1,801","1,846","2,017","2,263","2,261","1,811",9.3%
BWA,Botswana, 77 , 75 , 56 , 56 , 50 , 31 , 37 , 54 , 55 , 49 ,81,79,87,65,63,55,43,41,36,26,19,18,19,27,79,118,104,92,47,15,22,20,20,36,46,30,25,39,44,54,46,0.3%
BRA,Brazil, 111 , 124 , 57 , 29 , 46 , 40 , 40 , 42 , 32 , 120 ,537,"1,067","1,737","1,161","1,893","2,952","2,059","1,572","1,236","1,501","1,350","1,449","2,004","2,287","2,813","2,805","3,287","3,306","3,643","2,889","3,083","3,215","2,784","2,718","2,648","2,897","2,740","2,699","2,933","3,214","3,566",0.2%
BGR,Bulgaria,,,,,,,,,,,0,0,0,0,0,0,42,51,51,43,58,826,"1,177","1,718","1,723","1,613","1,716","1,694","1,919","1,592","1,333","1,483","1,449","1,667","1,685","1,495","1,666","2,194","2,408","2,342",955,1.4%
BFA,Burkina Faso, 150 , 153 , 110 , 113 , 90 , 126 , 192 , 173 , 187 , 155 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,68,84,100,96,120,221,210,308,396,385,397,417,456,467,465,2.8%
BDI,Burundi,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,34,45,46,49,56,51,31,34,48,48,46,1.5%
