"Destination","R_2018","T_2018","Fin_Freedom_2018","GDP_Growth_2018","Migrant_Stock","Population","World_Risk_Index","Unemploy_percent_2018","Delta_GDP_2018"
"Romania",358.66,1.01,50,4.47,0.0190009575019598,19472545,5.86,4.19000005722046,21013.28255
"Rwanda",21.22,7.47,40,8.58,0.00365779736023728,12301939,7.56,1.01999998092651,49047.781397
"Samoa",749.5,5.18,30,-2.06,0.0714475093050528,196130,5.87,8.31999969482422,44713.16401
"Senegal",153.14,3.45,40,6.38,0.0063074763030485,15854360,9.74,6.53000020980835,47791.883879
"Serbia",636.73,6.25,50,4.5,-0.00286426095479566,6982604,5.25,12.7299995422363,32891.66963
"Sierra Leone",8.1,10.28,20,3.45,0.00274504277953097,7650154,9.44,4.42000007629395,49483.607582
"South Africa",16.08,3.84,50,0.79,-0.012582740676289,57779622,6.37,26.9099998474121,38248.98508
"Sri Lanka",325.01,3.01,40,3.31,0.0226087678818643,21670000,7.57,4.32000017166138,38009.42941
"Tajikistan",239.87,2.93,30,7.3,0.0109878904544714,9100837,5.83,6.71999979019165,47873.898352
"Thailand",107.54,4.12,60,4.15,-0.0014003178290237,69428524,6.54,0.769999980926514,32660.32243
"Togo",57.17,7.66,30,4.93,0.00126744591964553,7889094,10.97,3.66000008583069,49596.731584
"Tonga",1773.31,4.19,20,0.3,0.0387511264862351,103197,29.72,3.0699999332428,44614.712294
"Tunisia",164.46,8.83,30,2.66,0.00172932531064735,11565204,5.7,15.460000038147,40161.4262
"Turkey",13.63,2.91,60,2.96,-0.0172450772551181,82319724,5.03,10.8900003433228,22355.48588
"Uganda",31.32,2.24,40,6.16,-0.0197426738704757,42723139,8.63,1.75,49013.458991
"Ukraine",329.3,4.3,30,3.41,-0.00112053291120864,44622518,2.75,8.80000019073486,38558.27615
"Uzbekistan",111.94,1.44,10,5.45,0.00134463725986995,32956100,7.82,5.71000003814697,44267.373192
"Vanuatu",119.58,9.43,40,2.9,-0.002050020500205,292680,49.74,1.72000002861023,47982.738269
"Zambia",6.17,10.19,50,4.03,0.00230523342159688,17351822,7.81,12.0100002288818,47580.113368
"Zimbabwe",119.81,6.6,10,4.83,0.0404659098007912,14439018,9.32,5.07000017166138,47981.140731
