ISO,Migrant remittance inflows (US$ million),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BFA,Burkina Faso,153.04,110.03,113.05,90.24,126.05,192.00,173.00,187.00,155.00,,,,,,,,,,,,,,,,56.66,68.00,84.44,99.74,96.37,120.46,221.10,209.98,308.47,396.31,384.99,397.37,416.84,455.65,467.25,464.68
BDI,Burundi,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.10,0.01,0.19,3.65,28.23,34.50,45.46,46.43,48.64,56.26,51.04,31.28,33.73,48.33,48.33,45.63
CPV,Cabo Verde,31.60,25.85,20.55,20.62,20.76,27.56,36.43,42.74,47.70,59.14,62.37,76.01,76.49,85.45,105.86,100.35,76.42,73.74,79.72,89.76,80.95,85.02,108.44,113.43,136.69,136.57,138.79,155.04,135.62,130.91,176.88,177.00,175.92,196.98,200.90,211.37,216.55,233.49,235.87,243.57
KHM,Cambodia,,,,,,,,,,,,9.00,9.50,11.30,11.60,11.60,11.70,72.20,82.40,102.60,112.80,123.00,128.20,147.40,163.70,183.70,185.80,187.92,142.21,557.40,610.65,855.04,1003.33,1103.12,1185.47,1199.21,1287.32,1431.30,1524.62,1271.95
CMR,Cameroon,28.70,19.02,28.00,14.83,12.22,23.74,12.78,12.32,32.57,22.99,7.34,25.01,20.34,11.40,11.24,13.41,13.56,22.61,15.41,22.16,16.85,29.60,75.58,103.57,77.02,130.06,167.56,162.67,185.11,114.97,219.54,210.41,244.13,283.34,241.71,269.00,316.80,333.55,355.55,339.67
CHL,Chile,,,1.00,1.00,1.00,0.40,0.50,0.10,1.30,0.40,,,,,,,,,,13.30,11.90,12.40,,,,,,,51.94,62.32,70.92,72.03,71.11,60.61,58.99,64.55,66.54,69.86,69.37,70.93
CHN,China,,616.00,542.00,403.00,271.00,407.00,166.00,129.00,76.00,124.00,207.00,228.00,108.00,395.00,350.00,1670.00,4586.00,344.00,530.00,758.00,1209.00,2354.00,4620.00,6640.00,23625.90,27565.19,38395.04,47742.81,41600.37,52459.65,61576.22,57986.60,59491.29,62332.34,63937.65,61000.00,63875.67,67413.59,68398.48,59506.67
COL,Colombia,160.00,87.00,72.00,78.00,110.00,416.00,625.00,458.00,467.00,495.00,881.00,640.50,467.70,968.35,815.12,753.04,773.52,805.93,1312.05,1610.10,2056.36,2479.94,3076.02,3189.71,3345.61,3899.16,4460.19,4826.85,4124.86,4030.85,4101.32,4018.67,4449.83,4165.73,4679.69,4913.25,5546.45,6360.27,6761.96,6873.55
COM,Comoros,1.22,2.37,1.84,2.14,4.23,4.76,6.80,7.38,7.89,9.94,10.10,16.00,16.03,15.23,12.21,,,,,,,,32.04,48.71,54.06,63.20,74.05,101.33,100.41,87.25,108.17,110.20,,159.82,131.87,116.75,131.60,172.62,168.68,161.40
COD,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,8.90,12.80,8.80,14.70,19.50,15.70,1127.50,855.85,1001.36,756.41,1166.57,593.48,1076.29,1822.71,2076.32,1930.98
COG,"Congo, Rep.",,,,,,0.04,0.01,4.43,,,,,,,4.24,7.82,4.57,1.94,11.67,10.35,12.12,1.18,12.39,14.95,11.38,13.20,16.70,21.63,33.95,33.10,62.14,68.35,72.04,41.54,29.78,7.70,,,,
CRI,Costa Rica,2.40,5.60,5.30,6.40,7.20,7.70,7.90,9.10,10.00,12.00,13.40,14.20,16.00,17.10,123.30,130.77,130.10,128.10,126.48,136.00,198.44,250.65,320.88,319.55,420.35,513.16,617.92,604.77,513.09,530.69,520.22,562.34,596.40,593.93,551.99,545.42,560.37,533.51,553.38,500.00
CIV,Cote d'Ivoire,30.91,28.91,27.03,24.95,24.04,35.81,42.92,42.64,35.42,,,,,,,,,,,,,,,,163.24,166.91,184.94,199.72,316.35,373.84,397.10,367.09,384.78,387.21,336.38,342.44,307.65,332.05,328.29,323.76
HRV,Croatia,,,,,,,,,,,,,230.03,375.51,544.17,649.92,593.98,601.21,528.87,1008.10,1132.78,1331.30,1565.79,1873.60,1874.47,1926.15,2228.81,2505.31,2268.83,2287.05,2524.04,2084.70,2174.20,2617.37,2520.84,3022.47,3430.48,3807.93,4032.58,3976.50
CYP,Cyprus,83.05,79.72,78.23,73.59,71.50,57.13,63.81,71.36,68.94,78.59,65.67,81.19,79.41,81.27,48.63,49.32,47.67,48.28,49.73,44.99,77.85,20.66,31.81,77.39,104.82,104.51,142.18,948.60,593.41,861.73,740.51,601.12,431.00,323.09,297.85,391.57,450.20,521.16,438.52,576.88
CZE,Czech Republic,,,,,,,,,,,,,138.07,164.01,189.10,110.47,71.08,345.84,310.63,293.97,256.46,332.66,493.72,1221.90,1340.52,1603.25,1827.05,1134.44,1196.08,1229.06,1394.31,1409.13,1737.88,2628.26,2674.83,3126.39,3585.22,3935.99,3859.94,4184.38
DJI,Djibouti,,,,,,,,,,,13.12,13.12,19.04,13.55,11.89,10.94,11.47,11.94,11.56,12.29,11.95,14.96,24.67,24.74,25.85,28.47,28.64,30.33,32.47,32.64,32.36,33.27,39.79,37.88,39.71,40.24,41.32,59.86,79.46,55.85
DMA,Dominica,8.50,7.50,9.40,10.80,11.10,7.70,11.78,16.11,13.37,9.78,0.40,0.24,9.62,10.32,10.84,11.11,11.43,12.07,12.99,13.52,14.34,14.46,14.80,20.03,21.77,22.08,22.48,22.69,22.14,22.89,22.87,23.25,23.55,50.50,55.93,44.03,44.35,49.18,49.18,49.00
DOM,Dominican Republic,183.00,190.00,195.00,205.00,242.00,225.00,273.00,289.00,301.00,314.80,329.50,346.60,758.10,797.50,839.20,962.70,1142.20,1405.80,1631.10,1838.80,1981.80,2194.30,2325.40,2501.20,2719.20,3053.80,3397.00,3605.50,3414.70,3887.00,4240.70,4262.10,4485.50,4810.40,5196.20,5508.40,6177.80,6814.20,7420.50,8331.60
ECU,Ecuador,,,,,,3.00,3.00,2.00,1.00,51.00,56.00,75.00,202.92,276.23,386.12,488.96,647.72,798.72,1089.52,1322.30,1420.56,1438.02,1633.43,1838.04,2460.00,2933.81,3341.34,3088.63,2742.44,2599.03,2680.60,2476.23,2458.80,2472.45,2387.56,2612.10,2849.07,3039.08,3242.68,3343.79
EGY,"Egypt, Arab Rep.",2180.00,2440.00,3670.00,3960.00,3210.00,2510.00,3600.00,3770.00,3290.00,4283.50,4054.00,6104.00,5664.00,3672.00,3226.00,3107.00,3697.00,3370.00,3235.30,2852.00,2911.40,2893.10,2960.90,3340.70,5017.30,5329.50,7655.80,8694.00,7149.60,12453.10,14324.30,19236.40,17833.10,19570.40,18325.40,18590.40,24737.40,25515.70,26781.40,29602.90
SLV,El Salvador,72.48,112.20,115.44,158.92,156.96,157.73,186.24,210.36,237.68,366.28,475.23,694.31,795.75,971.73,1063.90,1083.84,1199.49,1338.32,1386.00,1764.20,1924.30,1952.60,2121.30,2563.00,3028.60,3482.70,3709.05,3754.75,3402.34,3471.84,3643.95,3914.05,3966.48,4160.38,4274.62,4561.58,4996.35,5391.74,5661.16,5936.16
EST,Estonia,,,,,,,,,,,,,,2.91,1.28,1.68,1.74,2.64,2.31,4.05,11.02,19.15,42.00,154.98,254.61,392.14,381.28,416.33,340.05,357.08,438.65,460.68,564.80,543.92,457.28,486.48,505.09,570.40,543.07,506.61
SWZ,Eswatini,39.93,37.21,53.05,52.67,47.55,55.01,78.88,94.79,109.72,110.54,108.32,110.31,82.40,76.93,82.22,75.40,83.75,78.37,70.01,56.80,52.72,44.13,65.23,82.80,95.42,95.66,95.12,89.64,93.46,54.69,63.50,88.55,75.12,95.82,95.77,98.42,144.42,125.74,118.70,112.50
ETH,Ethiopia,10.48,10.19,11.01,11.50,14.20,13.57,8.55,11.30,6.47,5.22,9.76,15.02,18.38,24.63,27.36,16.01,9.23,27.31,33.73,53.16,18.31,32.99,46.47,133.74,173.52,172.15,357.84,386.70,261.60,436.14,538.34,624.36,833.03,1796.38,1086.99,772.24,393.38,436.33,531.04,504.48
FJI,Fiji,9.30,8.09,7.98,10.61,27.65,29.75,27.01,22.65,22.99,21.34,19.11,22.56,25.94,29.57,32.71,33.35,34.63,25.87,23.20,43.30,77.58,99.40,123.68,172.65,203.30,204.58,183.21,146.68,171.06,175.63,160.56,190.61,203.57,220.97,251.18,269.11,274.23,285.45,286.59,312.49
GAB,Gabon,0.18,0.06,0.29,0.09,0.13,0.23,0.30,0.13,0.16,,,,,,4.47,5.73,6.15,5.56,4.25,6.05,5.36,2.85,5.99,6.85,11.03,,14.41,20.65,13.85,38.43,21.79,22.59,16.53,29.47,18.46,18.46,18.46,18.46,18.46,17.73
GMB,"Gambia, The",,0.19,0.70,,,,,,,,,,,,,,,,,,,,54.07,60.75,59.30,63.77,55.66,64.81,79.80,115.70,91.36,106.35,109.83,137.77,135.96,207.37,228.18,203.60,275.48,297.52
GEO,Georgia,,,,,,,,,,,,,,,,,284.00,372.90,360.80,205.90,218.64,226.33,248.45,358.59,446.01,627.35,883.07,1065.02,1111.62,1183.94,1547.27,1770.12,1945.28,1986.47,1458.74,1520.79,1793.95,2034.29,2258.21,2109.70
GHA,Ghana,1.40,1.50,0.50,4.70,4.20,0.60,0.70,6.00,6.00,6.00,6.20,7.30,10.10,15.70,17.21,27.50,26.00,29.50,30.70,32.40,45.91,43.52,65.10,82.37,99.18,105.25,117.36,126.10,114.46,135.85,2134.60,2155.50,1863.99,2007.83,4982.44,2979.93,3536.41,3520.57,3396.19,3564.70
GRD,Grenada,,,,,,16.78,22.33,23.52,16.85,9.95,0.08,0.08,10.19,13.60,19.85,20.96,21.52,22.06,23.15,24.23,24.31,24.76,25.28,48.11,26.84,28.44,28.62,28.85,27.65,28.48,28.95,29.29,29.65,41.00,43.35,45.07,47.27,48.46,48.46,48.46
GTM,Guatemala,24.50,10.70,3.90,3.40,1.00,0.70,0.10,45.70,85.00,118.70,178.90,230.60,240.80,284.50,357.50,375.40,408.00,456.50,465.60,596.20,633.75,1600.19,2146.96,2627.50,3066.60,3700.10,4236.20,4425.60,4002.16,4224.68,4533.05,4965.27,5303.73,5751.44,6481.90,7362.67,8393.88,9437.67,10655.59,11402.84
GIN,Guinea,,,,,,0.07,0.07,26.71,,,,,,0.49,0.74,1.07,1.48,4.98,6.02,1.17,8.72,15.19,111.05,41.64,41.57,29.50,15.07,61.52,52.00,46.26,64.50,66.30,93.01,121.43,130.58,52.17,44.66,28.43,158.13,151.13
GNB,Guinea-Bissau,,,,,,,,1.50,1.20,1.00,,,,,,2.00,2.00,,,,10.03,17.63,23.13,27.70,19.90,25.52,43.00,49.46,48.85,45.89,52.11,45.64,63.79,92.42,84.95,56.43,105.18,127.98,151.19,122.99
GUY,Guyana,,2.30,1.17,2.61,,,,,,,,,,,,14.60,15.00,14.00,20.50,27.30,22.30,51.00,99.30,153.01,201.29,218.08,278.50,273.90,262.07,367.81,412.20,469.26,328.15,329.66,302.80,269.17,322.34,333.69,380.36,361.23
HTI,Haiti,127.00,97.04,89.88,90.00,95.78,105.00,113.00,124.00,123.00,,,,,,,,,327.30,422.05,578.00,623.58,675.66,811.00,931.54,986.15,1062.87,1222.09,1369.75,1375.55,1473.80,1551.37,1612.33,1781.00,1977.03,2195.56,2358.65,2721.84,3142.26,3326.93,3110.52
HND,Honduras,1.75,1.50,1.80,1.95,2.10,2.10,33.70,41.80,48.60,62.90,82.60,112.00,63.80,89.00,124.00,157.30,190.00,225.00,328.30,474.50,610.44,801.40,865.39,1169.10,1805.19,2358.47,2613.64,2821.34,2477.34,2617.91,2810.59,2920.37,3098.24,3369.51,3666.20,3863.74,4322.76,4776.55,5401.47,5576.00
HKG,Hong Kong SAR,,,,,,,,,,,,,,,,,,153.60,130.45,135.54,152.85,120.53,119.69,239.86,296.76,294.03,316.87,355.35,347.79,339.57,351.64,366.82,360.24,372.45,386.75,399.49,436.90,424.57,451.25,458.03
HUN,Hungary,,,,,,,,,,,,,,,351.70,326.98,296.16,315.21,336.05,363.17,364.26,443.56,466.99,632.56,731.50,858.66,975.98,1312.20,1575.17,1849.91,2305.03,3147.78,4159.62,4202.89,3953.86,4171.22,4123.72,4391.79,4710.36,3649.80
IND,India,2301.89,2621.91,2662.48,2293.07,2472.29,2243.01,2663.47,2316.72,2609.86,2383.74,3289.11,2897.43,3522.79,5856.69,6223.00,8765.69,10330.97,9479.30,11124.28,12883.47,14273.02,15735.74,20999.15,18750.38,22125.09,28333.64,37216.76,49977.28,49204.00,53479.96,62499.08,68820.52,69970.36,70388.64,68909.69,62744.36,68967.18,78790.17,83332.08,83149.00
IDN,Indonesia,,,10.00,53.00,61.00,71.00,86.00,99.00,167.00,166.00,130.00,229.00,346.00,449.00,651.00,796.00,725.00,958.17,1109.00,1190.20,1046.00,1258.92,1488.71,1866.31,5419.62,5722.36,6174.34,6794.20,6792.91,6916.00,6923.97,7212.20,7614.42,8551.16,9659.17,8906.66,8989.53,11215.34,11666.40,9650.93
IRN,"Iran, Islamic Rep.",,,,,,,,,,,1200.00,1196.00,1500.00,1200.00,1600.00,658.00,400.00,680.00,508.00,536.00,682.00,851.00,1178.00,1032.00,1032.00,1032.00,1115.00,1115.00,1072.00,1181.00,1330.00,1330.00,1330.00,1330.00,1330.00,1330.00,1330.00,1330.00,1330.00,1330.00
IRQ,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,711.10,388.90,3.10,70.90,152.00,176.70,223.00,271.00,727.00,729.40,1004.50,986.40,1088.50,741.70,859.20,716.98
JAM,Jamaica,107.00,111.10,84.20,73.90,145.50,111.50,120.50,153.90,208.30,228.70,181.30,215.60,239.20,507.10,639.10,690.30,715.10,741.50,775.00,877.70,1046.60,1241.60,1379.60,1601.20,1761.63,1923.74,2122.09,2156.59,1889.49,2026.45,2105.60,2168.14,2171.89,2268.79,2361.23,2433.42,2462.68,2501.61,2562.54,2956.23
JOR,Jordan,1030.00,1080.00,1110.00,1240.00,1020.00,1180.00,938.00,895.00,627.00,499.27,447.91,843.66,1040.15,1093.90,1243.99,1544.15,1655.15,1542.74,1664.03,1845.13,2011.33,2134.98,2201.13,2287.45,2420.87,2793.94,3326.38,3510.16,3465.21,3622.90,3683.94,3848.31,5342.82,6369.72,5348.31,4374.65,4431.97,4471.97,4389.30,3901.27
KAZ,Kazakhstan,,,,,,,,,,,,,,,,1.20,1.20,6.40,3.60,67.50,85.04,111.25,42.20,57.38,62.02,83.59,142.99,125.57,198.20,225.56,179.71,282.98,341.41,401.38,294.27,384.17,560.42,618.04,506.08,374.39
KEN,Kenya,7.41,7.05,5.71,5.83,6.33,10.05,10.51,12.06,11.23,0.22,0.20,,,71.36,87.50,87.54,506.62,531.91,584.85,,50.91,57.14,65.85,375.81,424.99,570.46,645.22,667.31,631.47,685.76,934.10,1211.02,1304.27,1440.84,1569.26,1744.64,1962.26,2720.37,2838.19,3100.00
KIR,Kiribati,,,,,,,,,,5.14,6.06,6.02,6.10,6.90,,,,,,,,,,,,13.00,13.94,14.37,14.05,15.65,17.03,17.64,17.25,16.38,14.05,16.29,17.96,19.98,20.08,19.00
UVK,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,621.91,701.59,771.47,919.89,1046.52,1056.11,1006.68,993.38,945.61,1058.40,1098.95,971.42,985.80,1112.08,1235.73,1248.99,1436.09
KGZ,Kyrgyz Republic,,,,,,,,,,,,,1.79,1.00,1.24,2.44,2.74,2.21,1.14,2.24,4.53,30.29,70.33,179.06,313.25,473.07,704.00,1223.27,981.96,1266.20,1708.69,2031.37,2278.00,2242.83,1687.70,1994.61,2485.78,2688.57,2410.51,2200.00
LAO,Lao PDR,,,,2.80,3.50,3.70,3.50,6.70,8.30,,,2.20,2.60,0.50,0.40,0.50,0.50,0.60,0.60,0.66,0.69,0.73,0.77,0.80,0.83,4.24,6.20,17.77,37.58,41.77,110.30,203.00,170.44,188.05,189.21,189.36,242.71,239.88,296.52,265.00
LVA,Latvia,,,,,,,,,,,,,,,,40.77,45.71,49.40,48.60,252.10,273.69,112.56,157.50,218.57,379.05,480.13,550.49,1920.43,1586.66,1257.37,1505.69,1498.60,1604.44,1553.48,1335.77,1234.95,1274.15,1237.35,1142.61,1088.35
LBN,Lebanon,,,,,,,,,,,,,,,,,,,,,,2544.45,4743.00,5591.44,4924.31,5202.24,5769.24,7180.59,7558.14,6914.06,6877.55,6671.24,7566.59,7190.79,7480.82,7605.73,7061.85,6977.96,7409.91,6298.42
LSO,Lesotho,291.00,348.00,378.00,323.00,224.00,255.00,353.00,372.00,365.00,998.59,1022.33,1121.34,1037.07,1132.75,1086.08,930.88,873.84,631.20,524.89,477.60,401.26,388.68,556.87,627.16,599.30,613.86,638.15,575.86,547.93,610.12,649.34,554.56,462.92,392.99,370.83,453.53,549.81,543.79,495.22,426.74
LBR,Liberia,,,,,,,,,,,,,,,,,,,,,,,,58.45,31.85,78.81,61.98,58.12,25.12,294.20,523.00,546.82,412.75,512.00,654.42,580.13,403.48,459.92,346.24,333.40
LTU,Lithuania,,,,,,,,,,,,,0.03,0.74,1.10,2.58,2.93,3.43,3.00,49.94,79.15,109.25,114.83,577.50,745.27,994.41,1433.10,1565.31,1239.84,1673.16,1955.42,1507.18,2059.90,2113.24,1372.82,1279.93,1302.55,1386.98,1303.94,790.58
MAC,Macao SAR,,,,,,,,,,,,,,,,,,,,,,46.60,47.74,53.33,53.15,55.47,54.39,51.60,48.38,46.85,48.29,46.91,48.66,36.86,39.53,27.59,25.43,22.80,21.56,21.56
MDG,Madagascar,0.22,0.11,0.12,5.64,4.57,5.87,4.65,4.03,9.74,4.48,9.03,12.11,11.73,10.88,9.10,6.24,12.18,11.46,11.62,11.27,10.87,29.32,16.23,11.51,101.70,150.26,254.49,313.99,283.72,455.83,335.02,330.50,357.75,344.44,326.84,299.20,342.78,425.50,407.68,391.86
MWI,Malawi,,,,,,,,,,,,,,0.77,0.52,0.65,0.74,0.75,0.75,0.75,0.75,0.84,13.90,18.32,22.53,14.79,21.01,16.67,16.66,21.77,25.32,28.30,34.13,38.49,41.49,39.05,78.39,180.58,217.46,189.02
