ISO,Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LSO,Lesotho,701,786,841,909,969,1029,1077,1201,1317,1437,1557,1691,1798,1919,2014,2152,2265,2323,2394,2567,2710,2796,2964,3117,3314,3565,3843,4065,4111,4371,4688,4795,5407,5926,6402,6225,5563,5638,5800,5604
LBR,Liberia,,,,,,,,,,,,,,,,,,,,2595,2725,2890,2091,2233,2437,2724,3163,3422,3627,3902,4290,4770,5650,5922,5617,6287,7234,7499,7441,7308
LBY,Libya,94941,102337,101336,96272,99920,90360,78982,87964,97994,105444,126075,125451,123591,128672,115084,120277,121608,122513,124857,132347,132864,133671,153876,165068,190414,208929,228173,190459,186176,194328,66148,148702,99491,53661,48497,51056,69056,83357,96034,39153
LTU,Lithuania,,,,,,,,,,,,,,,24906,26691,29408,31962,32053,33981,36992,40115,45177,49441,54923,60780,69345,72542,62249,64014,69298,73809,79034,82647,83784,88692,95675,101829,108144,108555
LUX,Luxembourg,6299,6758,7155,7764,8458,9489,10108,11350,12951,14150,15894,16552,17656,18722,19388,20042,21598,23259,25582,28362,29717,31340,32443,34519,36724,39795,44278,44561,42944,45558,47691,48646,51940,56354,59097,64400,67280,71039,73969,73882
MAC,Macao SAR,,,,,,,,,,,,,,,,,,,,,15723,17395,19781,25723,28666,33488,39366,41492,42341,53596,66543,75588,88663,90217,70042,70432,78559,85647,84884,37539
MDG,Madagascar,8765,9129,9572,10092,10532,10954,11357,12158,13150,14069,13627,14103,14740,15048,15622,16250,17141,18013,19132,20431,22128,19689,22017,23798,25707,27915,30301,32964,31894,32465,33667,34211,35257,36702,37486,39997,40515,42813,45499,44099
MWI,Malawi,2432,2647,2853,3114,3360,3420,3562,3804,4007,4393,4938,4680,5256,4814,5595,6266,6794,6943,7293,7514,7366,7614,8198,8875,9450,10194,11473,12589,13742,14857,15904,15920,17558,17576,17140,17827,18121,19144,20363,20733
MYS,Malaysia,54313,61095,67456,75315,77017,79473,85827,97684,110711,125199,141791,157910,177648,198154,222195,248895,271739,254575,274085,304508,312797,334875,360839,395687,428314,465919,508572,543517,539370,586732,630696,677647,701700,745387,750777,783874,829297,889716,944565,902595
MDV,Maldives,287,328,355,432,507,562,627,706,802,798,882,960,1036,1138,1247,1386,1556,1728,1879,2013,2128,2294,2930,3190,2857,3713,4106,4583,4284,4649,5153,5438,6140,6957,7628,8279,8964,9926,10809,7412
MLI,Mali,4017,3772,4046,4294,4573,4950,5198,5384,6193,7023,7819,7872,8345,8848,9304,10164,10835,11278,12155,12419,14643,15337,17046,17778,19530,21059,22380,23905,25214,26889,28340,28185,29823,32435,35447,39327,41593,44613,47573,47195
MLT,Malta,2077,2207,2353,2458,2596,2749,2978,3292,3665,3979,4356,4815,5124,5474,5973,6325,6746,7054,7426,7517,7592,7910,8385,8622,9192,9708,10444,11055,11013,11759,12061,12703,13757,14924,16674,18131,20249,21809,23428,22052
MHL,Marshall Islands,,,,,,,,,,,,,,,,,103,104,104,108,118,124,125,128,135,138,147,140,145,157,159,158,167,169,173,177,187,197,214,209
MRT,Mauritania,,,,,,,,,,5501,5688,5920,6416,6353,7123,7676,7492,7787,8509,8358,8473,8726,9504,10221,11443,13950,14043,14269,14392,14941,15889,16420,18036,16883,16995,19569,21743,22736,24434,24195
MUS,Mauritius,2237,2506,2614,2838,3129,3503,3954,4371,4746,5277,5697,6207,6677,7101,7561,8130,8740,9376,9759,10795,11386,11754,12689,13591,14218,15309,16621,17857,18590,19629,20857,21304,22487,23312,24280,26155,27082,28775,30171,25712
MEX,Mexico,480863,507915,509405,545789,575369,568880,592991,621781,672688,733983,790789,837453,880763,944018,903176,982009,1067340,1135090,1183190,1269420,1292020,1311930,1355620,1446700,1526180,1643050,1725850,1779540,1698330,1806050,1911320,2012770,2064490,2173230,2230640,2383390,2472590,2587530,2632290,2444680
FSM,Micronesia,,,,,,,,,,,,,,,218,215,205,213,220,236,246,251,260,259,272,280,282,281,286,296,312,312,306,304,321,328,343,352,362,361
MDA,Moldova,,,,,,,,,,,,13103,13253,9353,9413,9020,9322,8814,8638,9016,9776,10705,11624,12820,14211,15343,16228,17834,16892,18302,19772,21055,23961,25218,26233,29732,32101,34187,36044,33745
MNG,Mongolia,3509,4037,4438,4870,5309,5926,6288,6845,7411,7497,7037,6532,6474,6754,7335,7636,8071,8434,8819,9119,9751,10427,11402,12813,14072,15681,17513,19249,18994,20621,24692,28890,30402,32507,32285,32833,35222,38682,41404,39670
MNE,Montenegro,,,,,,,,,,,,,,,,,,,,5008,5174,5356,5592,5995,6441,7207,7903,8637,8198,8518,8974,8604,9237,9558,10164,11324,12263,13196,13975,11994
MAR,Morocco,30889,35952,37152,40162,44053,48670,48605,55559,59104,63790,70706,70800,71941,81257,78476,89801,89924,97518,99996,104187,114265,119696,129187,139029,148078,164115,174476,188405,197898,207843,223316,226124,236670,229402,247207,253685,264213,279075,291107,273950
MOZ,Mozambique,2802,2770,2426,2351,2449,2441,2869,3214,3557,3727,4105,3943,4464,4857,5071,5742,6501,7227,8189,8472,9704,10773,11733,13005,14300,16162,17879,19556,20949,22568,24745,25746,27733,29941,34918,37951,36776,38955,40556,40843
MMR,Myanmar,,,,,,,,,,,,,,,,,,35410,38951,44766,51452,57455,66244,78448,91865,107240,123887,135842,142881,152129,163804,184501,198338,209644,216278,213835,225517,245723,266993,278848
NAM,Namibia,,,,,,,,,,5491,5980,6683,6731,7081,7527,7910,8385,8759,9184,9718,10169,11020,11615,12719,13727,14701,15646,16373,16547,17751,19044,20502,21744,23796,24615,24588,24438,25299,25326,23776
NRU,Nauru,,,,,,,,,,,,,,,,,,,,,,,,35,36,40,32,40,43,49,55,62,83,107,112,117,112,121,125,127
NPL,Nepal,7984,8798,8870,10080,11038,11774,12270,13681,14833,16101,17705,18853,20042,22152,23401,25101,26878,27980,29656,32174,34730,35322,37397,40202,42897,45682,48509,52472,55269,58606,61877,67618,72735,79300,80943,81509,98516,108571,117866,117055
NLD,Netherlands,179858,188520,199348,212982,225554,237288,247655,268145,291143,314659,333275,346287,358973,377668,396280,417636,443224,469137,499861,532494,556841,566876,578312,605659,637305,679322,723884,753993,731878,750336,777881,792042,827476,830319,852113,890399,948182,993869,1028580,1001530
NZL,New Zealand,32187,35159,36491,40400,42184,43812,45989,47875,49962,51831,52881,54465,58661,63255,67740,71786,74832,75900,80489,85826,89941,95686,101597,109330,116289,123286,130967,133306,132673,136617,142007,144388,157699,167199,170526,185206,197276,208919,217816,213863
NIC,Nicaragua,7142,7521,8176,8339,8251,8332,8478,7688,7854,8138,8400,8626,8795,9431,10199,11044,11680,12250,13301,14156,14895,15245,15919,17217,18513,19799,21363,22527,21951,23186,25166,26490,27950,30356,32945,35895,38335,37704,36889,36216
NER,Niger,4456,4835,4830,4163,4626,5018,5147,5695,5975,6117,6296,6569,6746,7018,7341,7483,7728,8595,8699,8786,9632,10266,10684,11012,12188,13301,14088,15473,15897,17462,18247,20574,20822,21910,22907,23871,25137,27595,29747,30469
NGA,Nigeria,,,,,,,,,,174154,179051,187148,194588,199253,207240,219586,229818,238205,242906,262040,285640,332535,370896,420653,464154,510365,562428,614645,671066,755321,808786,836150,897506,971492,982912,973442,990700,1033990,1075690,1069200
MKD,North Macedonia,,,,,,,,,,,,11583,10968,11001,11108,11447,11802,12338,13061,13959,13827,14256,14843,15955,17229,18663,20405,21940,22028,23033,24064,24559,26270,27776,28760,31370,32458,34195,35910,34698
NOR,Norway,67430,71765,77538,85198,92774,98467,102672,106021,111322,117720,125456,132901,139921,150134,159651,170749,182872,189784,196400,207225,216164,222759,228961,244458,258690,272915,288638,295654,292763,298253,307472,327988,340138,338506,313315,308491,332135,343915,353037,354592
OMN,Oman,15611,18482,22268,26280,31049,32353,31829,34680,37115,41730,45749,50765,55161,58505,62618,65606,70860,73596,74906,81596,87123,87528,86776,90262,95391,103559,111075,122522,131001,135120,141481,155907,158880,156303,133780,129565,135696,140232,141558,134151
PAK,Pakistan,81668,93271,103503,111499,125042,135676,147110,162100,176556,191568,208201,229064,239409,255204,273744,297152,307423,321745,340041,361227,376411,394265,420565,464204,521543,568590,616191,659510,666935,692117,732180,752629,784863,827826,872097,898016,950382,1027060,1065370,1074140
PLW,Palau,,,,,,,,,,,,,,,,,,,,157,170,179,177,190,204,209,217,209,198,201,215,223,223,241,255,257,256,278,278,252
PAN,Panama,8373,9366,9295,9892,10709,11314,11384,10209,10775,12083,13669,15127,16330,17154,17821,19485,21105,22907,24139,25355,26055,27062,28730,31718,35055,39200,45129,50541,51559,55200,62728,70434,79815,89330,100479,112346,125038,132647,139119,115532
PNG,Papua New Guinea,3524,3772,4055,4160,4445,4791,5045,5375,5506,5533,6268,7297,8466,9554,9418,10223,9740,10311,10654,10620,10840,10994,12211,12612,13558,14323,15857,16117,17345,19324,19946,21275,22477,25993,27966,29811,31445,32111,34599,33660
PRY,Paraguay,13316,13941,14046,14963,16034,16399,17489,19171,21082,22772,24363,25341,27222,29282,31936,33033,35028,35446,35467,35421,35895,36456,38737,41394,43594,47072,50957,55252,55529,62437,66449,64357,72178,75404,76730,81538,86486,91535,93141,93422
PER,Peru,62222,65853,62048,66730,70279,80373,88734,83208,74864,73713,77897,79242,85373,97928,107392,112419,121764,122653,126284,132586,136330,146039,154946,167008,183033,202770,225954,251409,255984,280852,305218,318086,337915,348937,355504,377493,398997,424768,441976,397612
PHL,Philippines,104350,114808,121540,116704,111598,117735,125848,139084,153506,164088,168897,173468,181452,193432,206623,222737,238329,239772,251374,268256,282498,297632,318581,348649,377277,409360,447761,476301,486883,528683,560551,612131,654004,699662,733864,798601,854095,930065,1003850,919368
POL,Poland,169207,170954,187598,193656,207496,219070,229655,245565,264921,255128,245279,255969,273268,293725,320059,346254,377185,400432,424592,452574,468074,482343,508488,548196,585093,639759,703336,747130,774148,812463,868897,903837,934553,968368,1020670,1075280,1145320,1235610,1314780,1294480
PRT,Portugal,67150,72841,76430,78363,82164,86601,95516,104164,115445,129179,138048,145614,148039,153452,160284,168939,179415,190158,200440,212740,221632,226874,228936,239305,248688,260378,274075,280297,273616,281615,282621,277992,292135,298952,307312,326331,340796,358922,374423,350208
QAT,Qatar,21942,21385,21038,25282,22683,23997,24812,26894,29430,26060,26531,29965,30401,31650,32430,34420,44728,49869,52495,57396,61294,66544,70482,86294,95916,126569,153611,183995,209615,249689,283716,311041,322985,317406,238529,220585,249963,259125,265795,261979
ROU,Romania,121970,134557,148216,162778,167758,175243,181014,186460,182532,178736,160894,150135,156040,165638,181183,191785,183283,176417,176907,186144,200152,214914,224030,254052,274194,305173,336040,374461,356498,346582,360566,378487,395318,411273,428249,478155,534707,572045,606289,589707
RUS,Russia,,,,,,,,,,,,1604380,1499500,1337020,1309090,1284960,1325180,1268470,1368510,1539650,1653510,1759360,1923730,2117270,2322420,2587800,2884120,3094510,2874240,3038680,3259320,3480300,3741780,3763540,3526240,3538580,3818780,4020240,4175040,4096530
RWA,Rwanda,2378,2462,2713,3176,3420,3681,3761,3905,3827,3986,3944,4300,3945,2341,2977,3383,3954,4332,4540,5029,5575,6410,6674,7364,8306,9345,10331,11708,12533,13609,14997,15780,16762,19002,20620,22076,23665,26312,29298,29594
WSM,Samoa,192,201,210,222,242,259,267,284,313,303,306,326,339,369,401,438,449,459,463,497,546,586,628,665,731,769,794,838,840,871,926,906,918,935,985,1075,1107,1110,1170,1147
SMR,San Marino,,,,,,,,,,,,,,,,,1150,1250,1382,1444,1558,1587,1680,1804,1905,2038,2242,2276,2061,1964,1834,1748,1740,1825,1850,1925,1982,2061,2147,1962
STP,São Tomé and Príncipe,136,149,148,144,163,156,156,164,176,179,187,193,199,208,217,224,230,239,248,255,267,277,301,321,354,398,422,466,481,519,553,557,638,747,765,790,811,856,882,835
SAU,Saudi Arabia,467035,393094,342921,338733,315220,376273,360006,421561,435885,520903,619341,658715,665126,683124,698927,730496,751295,781734,763178,824129,832006,821343,930645,1031760,1123200,1189450,1243970,1347420,1329740,1413020,1586750,1672470,1680160,1722860,1541830,1475670,1565890,1642520,1677380,1627310
SEN,Senegal,6951,7959,7830,8417,8968,9434,10256,10555,11405,11752,12460,12902,13381,13636,14770,15322,16010,17157,18445,19590,20883,21228,22832,24535,26390,27822,29377,31058,32156,33633,34794,36714,37797,40124,43318,46119,49402,53729,57096,58267
SRB,Serbia,,,,,,,,,,,,,,,,,,,,47507,50973,55464,58988,66056,75030,81249,88804,95651,93748,95534,99515,100380,104877,104603,105951,111920,116697,124870,132499,132792
SYC,Seychelles,292,304,314,339,386,397,426,465,533,594,631,691,759,757,776,870,993,1028,1063,1133,1131,1163,1115,1112,1250,1409,1598,1594,1589,1703,1832,1904,2012,2183,2248,2430,2617,2716,2817,2471
SLE,Sierra Leone,3100,3350,3426,3610,3473,3548,3722,3933,4289,4522,4301,3975,4071,4303,3953,3028,2538,2545,2372,2518,3040,3904,4348,4759,5129,5507,6111,6566,6827,7276,7897,9434,11988,12544,11469,12300,12234,12962,13920,13772
SGP,Singapore,27783,31595,35641,40174,41186,42580,48344,55686,63748,72629,80108,87374,99696,113125,123814,135501,149306,147672,158379,176555,178499,188421,200625,226257,250473,281291,314908,327031,329923,382249,414967,435965,448140,461772,481405,501388,535131,567145,585035,560205
SVK,Slovak Republic,,,,,,,,,,,,,44000,47729,52566,57244,60819,64010,64866,67090,70792,75155,80760,87312,95995,107299,122117,131432,125209,134105,140805,145827,151589,157124,162322,161058,168135,178660,186063,178526
SVN,Slovenia,,,,,,,,,,,,22345,23515,25290,26879,28357,30303,31649,33818,35844,37808,39753,41689,44678,47819,52098,57231,60392,56259,57680,59392,59746,61744,63653,65283,70072,75774,80995,85066,81334
SLB,Solomon Islands,240,250,270,281,280,286,317,333,360,382,419,483,514,567,638,660,665,681,688,603,567,560,607,665,724,782,839,905,935,1027,1125,1168,1252,1288,1319,1411,1515,1612,1661,1608
SOM,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13105,10156,9015,9864,11346,12230,12655,13322,13953,13910
ZAF,South Africa,155689,164675,167965,182899,186398,190185,198983,214652,228410,236205,241708,241933,250720,264356,278308,295609,308666,313755,325791,346911,364217,383550,402193,431832,468781,510032,551808,580491,575921,600342,633011,637034,668458,682955,695228,707744,724101,747322,761824,717396
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32402,14508,17633,17392,16179,12577,11185,11233,11533,10904
ESP,Spain,321331,345411,364869,384455,405982,428368,464024,505774,551905,594584,630218,650064,656724,686405,729686,761038,804086,849474,902633,969438,1029700,1074520,1127130,1193560,1275740,1368280,1455660,1497150,1451710,1471090,1489600,1483650,1512070,1558310,1621510,1733040,1843930,1934080,2007060,1808670
LKA,Sri Lanka,18861,21075,22626,25019,27090,28818,29960,31854,33847,37282,42713,42317,46559,51374,55625,63533,71279,70895,73990,82011,82177,86588,93435,101175,110838,122950,134834,145635,151938,166030,183744,210688,223390,233895,242361,259190,269854,285374,297019,289891
KNA,St. Kitts and Nevis,152,171,174,198,217,241,267,305,336,368,389,410,443,476,503,543,592,605,638,716,770,793,776,829,938,997,1030,1114,1077,1083,1126,1072,1115,1216,1225,1287,1320,1391,1456,1199
LCA,St. Lucia,328,356,385,431,500,584,622,733,830,947,982,1085,1117,1159,1204,1262,1275,1370,1427,1460,1441,1470,1561,1719,1766,1932,2023,2163,2139,2175,2327,2311,2394,2454,2427,2573,2705,2843,2943,2417
VCT,St. Vincent and the Grenadines,193,210,226,246,265,285,294,344,369,401,424,465,493,497,542,558,589,622,644,671,697,753,826,883,933,1036,1099,1138,1123,1098,1116,1134,1185,1231,1271,1364,1345,1407,1437,1394
SDN,Sudan,23513,25997,26607,26015,26671,29910,32631,35231,37134,38846,42981,46397,48802,51596,57345,61587,66444,72729,76904,85216,96548,103903,112488,121449,132305,145212,157665,166914,163532,171821,169773,137750,142298,168145,170584,220516,187695,187794,186300,181714
SUR,Suriname,2281,2269,2238,2249,2300,2290,2140,2454,2609,2666,2376,2525,2528,2401,2729,3090,3363,3476,3494,3569,3826,4032,4361,4806,5199,5665,6114,6492,6738,7169,7747,8543,9203,9550,8987,8025,9340,9811,10013,8771
SWE,Sweden,100356,108045,114587,123884,130775,137371,145418,154261,164570,172010,175867,178192,179078,190090,201713,208651,218766,230768,244043,261390,270994,281330,293173,314122,333166,359254,381592,387261,373279,400106,421516,432488,444617,457508,481300,500373,530433,553760,571367,561999
CHE,Switzerland,127274,133194,139194,148851,159341,165465,172194,183913,199660,214785,220175,224692,229569,237463,243835,249684,259674,270554,279065,296932,308426,313403,318980,336166,356531,382545,408773,427778,422199,440780,458607,479486,503717,525156,547002,570092,588163,620576,638692,627151
SYR,Syria,22490,24496,25864,25056,27734,26947,27959,32627,31849,36463,41740,48346,53159,57298,61672,64664,65062,69448,68252,71379,75629,81356,81179,89118,97606,105634,114627,122088,130292,136344,,,,,,,,,,
TWN,Taiwan Province of China,72259,80415,91104,103877,112314,127765,147619,165087,186524,204226,228809,253472,277158,304315,330886,357757,385949,406704,440352,478622,482263,516746,548578,602508,654720,713460,782815,804418,797477,889427,941367,973232,1015240,1066100,1102040,1112780,1143220,1203300,1261090,1316050
TJK,Tajikistan,,,,,,,,,,,,8108,7378,5923,5292,5153,5331,5677,5972,6612,7446,8253,9263,10521,11576,12761,14126,15538,16267,17526,19216,21657,24570,27630,25288,26829,27389,30094,32929,34827
TZA,Tanzania,11521,12306,13095,14029,15139,16463,17865,19309,20828,23130,24408,25110,26015,26987,28537,30380,31993,33553,35685,38283,41469,45142,49147,54421,60252,64968,72360,77874,82691,88974,98013,95918,103322,108827,117377,127683,134162,146944,159993,163598
THA,Thailand,86659,96939,106358,116543,125811,135446,152008,178280,207861,240703,269754,301367,335273,369816,408230,439201,434472,405822,430505,459737,486001,524047,572153,624510,670928,725573,785560,814659,815201,886663,912790,1008790,1049950,1059450,1087230,1146040,1205840,1286520,1339170,1272900
TLS,Timor-Leste,,,,,,,,,,,,,,,,,,,,1122,1334,1264,1259,1298,1379,1363,1542,1750,1940,2148,2320,2629,2864,3195,3484,3817,3911,3962,4788,4459
TGO,Togo,2872,2937,2894,3175,3397,3579,3576,4077,4411,4846,4980,4930,4223,4914,6005,5879,6207,6135,6382,6461,6657,7021,7632,7761,7629,8068,8187,8685,9236,9914,10769,11214,11966,12793,13806,14676,15491,16651,17874,18218
TON,Tonga,83,100,110,164,178,198,206,206,217,235,258,253,259,270,297,303,306,317,329,349,362,384,391,394,405,408,409,436,417,425,463,476,486,505,516,556,585,601,616,620
TTO,Trinidad and Tobago,8670,9556,8907,8698,8603,8489,8302,8258,8510,8962,9554,10757,10939,11571,12263,13379,14633,16000,17534,19163,20308,22104,25639,28259,30857,36299,38860,40918,39241,41073,41850,40430,40692,40459,37543,36353,36460,37360,37553,35031
TUN,Tunisia,15905,16806,18281,20026,21830,21946,23996,24860,26501,29438,31693,35011,36728,38873,40749,44339,47686,50616,54436,58046,61571,63372,67584,73732,78679,85311,93481,99337,103141,108007,108148,110825,112068,115567,114133,117101,120710,126964,130498,120457
TUR,Turkey,182055,199932,217647,240886,259087,282649,318682,336919,351014,397853,415118,449987,497696,480589,525945,573104,626872,653532,641335,701130,675307,730222,786648,886960,996828,1098350,1184740,1217630,1167740,1280900,1454110,1550690,1703670,1860470,2022940,2116180,2282300,2406260,2471660,2546500
TKM,Turkmenistan,,,,,,,,,,,,11967,11026,9313,8824,8383,7564,8162,9646,11694,14388,16920,20180,23768,27704,31673,36120,42253,45186,49900,58441,63516,68363,73746,76192,78493,81788,88945,96263,98192
TUV,Tuvalu,,,,,,,,,,,,,,,,,,,,22,22,24,24,24,24,26,28,31,29,29,32,31,33,34,38,40,43,45,49,50
UGA,Uganda,6736,7739,8436,8479,8484,8737,9311,10439,11543,12753,13419,14528,15866,17452,19452,21115,22471,24105,26397,28051,31179,33907,36664,39836,45188,49837,55303,62258,67794,73717,81034,77235,80260,84146,84761,86129,89742,97379,107088,106106
UKR,Ukraine,,,,,,,,,,,,331439,291113,229240,205493,188330,185831,184352,186640,202070,224673,240324,268042,307738,327160,362678,402960,419835,359157,378239,407226,425994,486365,461987,435490,475722,504188,533874,560976,543828
ARE,United Arab Emirates,106496,104947,103332,111826,112454,92613,99937,100748,121169,155323,164015,172945,176992,194080,211188,226539,250156,254973,268357,308180,318983,332060,368035,414139,447822,506733,537160,565211,539742,554739,605575,631707,647296,678339,601179,598811,637385,660454,683523,650829
GBR,United Kingdom,538031,582536,630755,668175,717733,755248,815661,892830,951753,994618,1016920,1044260,1095630,1162060,1216460,1269600,1355750,1421840,1489900,1576610,1655180,1718000,1808030,1899160,2016190,2133170,2242180,2279420,2202310,2274180,2351300,2439690,2560720,2667370,2772580,2896460,3032780,3144500,3246540,2959920
USA,United States,3207030,3343800,3634030,4037650,4339000,4579630,4855250,5236430,5641600,5963130,6158130,6520330,6858550,7287250,7639750,8073130,8577550,9062830,9630700,10252350,10581830,10936450,11458250,12213730,13036630,13814600,14451880,14712830,14448930,14992050,15542600,16197050,16784830,17527280,18238300,18745100,19542980,20611880,21433230,20932750
URY,Uruguay,15153,14586,14660,15023,15727,17465,19316,20291,21319,22183,23745,26212,27546,30183,30370,32651,34890,36793,36218,36370,35881,33879,35311,37944,41789,44818,49033,53573,56273,61371,65887,66779,70438,74226,74939,76887,79077,81362,83089,79302
UZB,Uzbekistan,,,,,,,,,,,,46597,46604,45124,45656,48581,51989,54834,58018,61569,65562,69263,73512,81078,89455,99075,111402,123789,134837,146357,161046,170097,179717,189421,198534,205512,211135,227980,245505,252576
VUT,Vanuatu,124,134,144,163,170,173,173,176,185,215,229,240,248,276,285,297,317,324,330,357,352,339,360,385,418,467,493,531,552,565,595,612,626,658,666,705,764,805,846,777
VEN,Venezuela,128536,140087,131227,143063,148868,161098,173008,190770,170654,188492,213827,231954,238104,237475,252035,256142,277159,281103,268137,284237,300330,278065,261263,317359,361009,408652,456363,489794,477724,476095,506340,545085,562097,550205,520885,436659,375151,308781,204291,144737
VNM,Vietnam,33805,38819,43200,48518,52865,55739,58574,63732,71397,77808,85112,94625,104692,116373,130148,144910,159425,170514,181233,197860,216141,235106,257052,284534,315540,347774,382577,412100,437656,471196,511889,568401,607018,660612,700257,770872,851064,933163,1016480,1058690
WBG,West Bank and Gaza,,,,,,,,,,,,,,4972,5438,5605,6538,7559,8303,7763,7194,6395,7427,9299,10672,10885,11601,12705,13902,14877,16646,19950,20886,22996,25426,27536,28519,29562,30499,27486
YEM,Yemen,,,,,,,,,,24224,26619,29460,31365,34188,36884,39300,42069,45098,47477,51538,54672,57723,60998,65128,70912,75375,79983,84513,88450,96373,85876,85441,92756,94294,68543,62769,60706,62631,65088,62583
ZMB,Zambia,9121,9402,9659,9835,10272,10657,11083,12538,12553,12947,13296,13878,14196,12569,13205,14283,15083,15194,16130,17133,18440,19576,21324,23438,25917,28812,32057,35221,38762,43252,46612,49509,53420,54506,54473,55712,58735,62572,64607,63103
ZWE,Zimbabwe,,,,,,,,,,,,,,,,,,28727,28818,28216,28704,26912,22964,22104,21102,20968,20799,17742,19200,23247,27102,31161,34187,35496,37016,38427,42818,45379,42769,39824
