ISO,Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BRN,Brunei Darussalam,,,,,13152,13044,13408,13831,14691,15406,16428,17602,18073,19041,20310,21278,21326,21445,22419,23574,24752,26117,27374,28253,29246,31366,30997,30367,30017,31199,33044,35210,33885,33344,25949,23633,25891,26526,28044,28726
BGR,Bulgaria,54253,60024,64246,69626,73122,78547,84273,89339,92377,87113,80374,75279,68103,67008,67318,63037,55023,58027,53990,57837,61361,66043,70735,77318,85430,94002,102857,111239,108304,110179,115129,118702,120521,126862,131703,142682,151814,160266,169154,164623
BFA,Burkina Faso,2884,3105,3188,3356,3853,4243,4338,4751,5044,5201,5865,6012,6368,6589,7112,8040,8695,9436,10274,10702,11660,12360,13572,14561,16315,17860,19094,20594,21366,23441,25515,26835,28735,29761,31033,35311,39413,43113,46379,47313
BDI,Burundi,1577,1657,1786,1853,2137,2251,2434,2646,2787,2991,3271,3380,3244,3186,2996,2806,2867,3037,3116,3243,3369,3503,3656,3896,4193,4553,4837,5171,5409,5752,6109,6386,7069,7649,8551,8358,8375,8715,9031,9023
CPV,Cabo Verde,269,293,334,359,402,422,451,495,544,568,596,628,690,753,827,898,983,1078,1223,1342,1455,1556,1704,1836,2003,2252,2526,2746,2732,2804,2977,2940,2964,2979,3146,3358,3571,3822,4111,3577
KHM,Cambodia,,,,,,,4246,4818,5174,5428,6037,6611,7041,7780,8418,9078,9604,10167,11624,13022,14447,15641,17287,19588,22874,26105,29544,32134,32407,34739,37972,42401,45764,48654,52598,57942,62838,69193,75390,73609
CMR,Cameroon,13256,15139,16809,18716,20873,22739,22800,21748,22200,21612,21502,21322,21137,21050,22202,23719,25410,26954,28454,30123,32129,34020,36234,39733,41798,44552,47992,50632,52140,54553,57992,61350,66290,72250,75965,81471,87321,93050,98362,96798
CAN,Canada,327456,336606,358888,393809,425510,443388,472860,511124,543471,564739,571660,589952,619999,661699,693773,717915,761552,800129,853590,917854,954773,999150,1036040,1096770,1167170,1234170,1293590,1331990,1302870,1358780,1430810,1468100,1554120,1621400,1594900,1678390,1776860,1863720,1932310,1850070
CAF,Central African Republic,1245,1274,1244,1417,1517,1658,1699,1790,1930,2030,2082,2024,2047,2354,2479,2369,2509,2622,2737,2698,2829,2934,2921,2997,3181,3433,3667,3836,3974,4207,4475,4889,3285,3216,3536,3862,4195,4460,4675,4731
TCD,Chad,1816,2031,2442,2663,2964,3204,3403,3789,4014,4297,4905,5137,5149,5548,5621,5845,6282,6794,6845,6936,7915,8723,10193,13987,15622,16199,17178,18049,18939,21765,22246,22192,20808,23012,25683,24494,24028,25172,26379,26462
CHL,Chile,44700,41013,41425,45446,47806,51498,56244,62471,71805,77228,85999,97751,106793,114594,127344,138587,151432,159808,161376,173786,183461,192133,203706,224257,244518,267831,288534,304637,302084,323402,350360,374116,394268,404577,407606,413328,436866,463993,477091,454668
CHN,China,349095,404024,465191,555237,650133,722248,826705,951715,1030570,1110710,1244740,1454320,1697550,1959730,2221140,2487590,2762350,3013690,3300180,3660650,4054260,4491110,5038120,5699150,6542460,7598630,8902000,9950970,10962890,12291010,13735670,15137460,16277360,17200690,17880340,18701700,19814060,21654280,23324100,24142830
COL,Colombia,87995,94318,99555,106603,113392,122412,132174,142397,153032,165557,175216,187011,202374,217334,233435,242596,255245,259589,252266,265449,275822,287201,303997,328830,355030,390344,427839,450480,459089,485313,529874,553769,591784,625018,630399,672095,700091,735284,772967,728767
